file_path,img_tag_snippet,current_alt,recommended_alt
"/Users/jammermurphy/Desktop/severin-cleaners-website/public/favicon.ico","n/a - favicon","n/a","n/a - favicon, no alt needed"
"/Users/jammermurphy/Desktop/severin-cleaners-website/public/icon.svg","n/a - app icon","n/a","n/a - app icon, no alt needed"
"https://images.unsplash.com/photo-1558618666-fcd25c85cd64","backgroundImage in Hero.tsx line 29","n/a - background image","n/a - decorative background"
"https://images.unsplash.com/photo-1558618666-fcd25c85cd64","<img src={service.image} alt={service.title} className=""w-full h-full object-cover""> in Services.tsx line 122-125","Residential Junk Removal","junk removal crew loading furniture truck San Diego residential cleanout"
"https://images.unsplash.com/photo-1504307651254-35680f356dfd","<img src={service.image} alt={service.title} className=""w-full h-full object-cover""> in Services.tsx line 122-125","Commercial Junk Removal","commercial junk removal team clearing office furniture San Diego business cleanout"
"https://images.unsplash.com/photo-1560518883-ce09059eeffa","<img src={service.image} alt={service.title} className=""w-full h-full object-cover""> in Services.tsx line 122-125","Estate Cleanouts","estate cleanout crew sorting belongings San Diego property restoration"
"https://images.unsplash.com/photo-1503387762-592deb58ef4e","<img src={service.image} alt={service.title} className=""w-full h-full object-cover""> in Services.tsx line 122-125","Construction Debris","construction debris removal truck loading materials San Diego demolition cleanup"
"https://images.unsplash.com/photo-1556909114-44e3e70034e2","<img src={service.image} alt={service.title} className=""w-full h-full object-cover""> in Services.tsx line 122-125","Appliance & Furniture","appliance removal crew hauling refrigerator San Diego furniture disposal"
"https://images.unsplash.com/photo-1527515637462-cff94eecc1ac","<img src={service.image} alt={service.title} className=""w-full h-full object-cover""> in Services.tsx line 122-125","Hoarding Cleanup","hoarding cleanup team organizing cluttered room San Diego compassionate restoration"
"https://severincleaners.com/junk-removal-truck.jpg","StructuredData.tsx line 56 - schema.org image","MISSING","Severin Cleaners junk removal truck serving San Diego neighborhoods"
"https://severincleaners.com/team-photo.jpg","StructuredData.tsx line 57 - schema.org image","MISSING","Severin Cleaners professional crew team San Diego junk removal experts"
"https://severincleaners.com/before-after.jpg","StructuredData.tsx line 58 - schema.org image","MISSING","before after junk removal transformation San Diego property cleanout results"
"https://severincleaners.com/logo.png","StructuredData.tsx line 60 - schema.org logo","MISSING","Severin Cleaners logo San Diego junk removal company"
"https://severincleaners.com/og-image.jpg","Multiple pages - OpenGraph meta image","MISSING","Severin Cleaners San Diego junk removal same day service professional crew"
"https://severincleaners.com/twitter-image.jpg","layout.tsx line 57 - Twitter meta image","MISSING","Severin Cleaners San Diego junk removal emergency service professional hauling"
